,LFQ intensity SW480_1,LFQ intensity SW480_2,LFQ intensity SW480_3,LFQ intensity SW620_1,LFQ intensity SW620_2,LFQ intensity Sw620_3
3520,78230000.0,82321000.0,73962000.0,0.0,52865000.0,60208000.0
3521,705050000.0,622140000.0,636060000.0,466030000.0,536720000.0,586820000.0
3522,121540000.0,150880000.0,173380000.0,23683000.0,35863000.0,28972000.0
3523,358360000.0,168270000.0,185960000.0,239400000.0,233470000.0,215780000.0
3524,5.0,3.1,8.1,54456000.0,11302000.0,5656700.0
3525,0.0,0.0,0.0,35736000.0,26833000.0,23180000.0
3526,148840000.0,165830000.0,138230000.0,415100000.0,269980000.0,242490000.0
3527,0.0,0.0,0.0,3419900.0,0.0,0.0
3528,0.0,6512700.0,0.0,0.0,0.0,0.0
3529,66547000.0,87376000.0,114530000.0,30911000.0,23888000.0,26322000.0
3530,171640000.0,191800000.0,205090000.0,60745000.0,81305000.0,77917000.0
3531,60907000.0,73467000.0,61996000.0,63047000.0,47361000.0,70972000.0
3532,37416000.0,38205000.0,43305000.0,42851000.0,43102000.0,48980000.0
3533,0.0,0.0,2588400.0,0.0,0.0,0.0
3534,39591000.0,42860000.0,51087000.0,0.0,0.0,0.0
3535,35234000.0,0.0,0.0,0.0,0.0,0.0
3536,47872000.0,39672000.0,60800000.0,95263000.0,48551000.0,30089000.0
3537,15787000.0,14499000.0,30993000.0,15662000.0,11895000.0,0.0
3538,29429000.0,29522000.0,78266000.0,67421000.0,45769000.0,29791000.0
3539,521790000.0,539880000.0,470300000.0,423090000.0,495790000.0,530960000.0
3540,52337000.0,22978000.0,58099000.0,42278000.0,30418000.0,35475000.0
3541,186330000.0,157290000.0,188620000.0,104220000.0,113960000.0,90573000.0
3542,378630000.0,298530000.0,317840000.0,261520000.0,394670000.0,391500000.0
3543,0.0,0.0,0.0,0.0,2020900.0,0.0
3544,27978000.0,33066000.0,34427000.0,48463000.0,33077000.0,42523000.0
3545,0.0,0.0,0.0,0.0,0.0,4473300.0
3546,803310000.0,827490000.0,833540000.0,852680000.0,639780000.0,708650000.0
3547,53926000.0,0.0,14338000.0,0.0,66886000.0,35331000.0
3548,749930000.0,739500000.0,857790000.0,811110000.0,702270000.0,699790000.0
3549,117360000.0,35060000.0,43592000.0,36803000.0,59518000.0,70543000.0
3550,9409500.0,9397800.0,12886000.0,0.0,8566000.0,10115000.0
3551,264630000.0,511610000.0,831800000.0,490830000.0,750120000.0,287990000.0
3552,20964000.0,18918000.0,24183000.0,16581000.0,14784000.0,14687000.0
3553,33541000.0,26120000.0,37798000.0,32996000.0,31696000.0,26297000.0
3554,0.0,0.0,9209400.0,0.0,0.0,0.0
3555,396410000.0,284370000.0,540500000.0,567770000.0,394850000.0,472490000.0
3556,45713000.0,42133000.0,50244000.0,49159000.0,60968000.0,59436000.0
3557,0.0,0.0,134850000.0,0.0,156470000.0,0.0
3558,0.0,0.0,8610800.0,0.0,0.0,0.0
3559,0.0,0.0,0.0,0.0,0.0,2596300.0
3560,40709000.0,60525000.0,49053000.0,29679000.0,26561000.0,28837000.0
3561,53336000.0,68232000.0,80473000.0,54748000.0,32192000.0,55415000.0
3562,97269000.0,66502000.0,74015000.0,172960000.0,251230000.0,169560000.0
3563,0.0,42841000.0,0.0,0.0,0.0,0.0
3564,125700000.0,126310000.0,88562000.0,108190000.0,113170000.0,65043000.0
3565,0.0,0.0,0.0,0.0,0.0,14767000.0
3566,18.5,18.5,18.5,5861600000.0,582050000.0,617130000.0
